fips,per_capita_health_cost,low_birthweight_percentage,food_environment,physical_exercise_opportunities,teen_births,limited_healthy_access,stis,primarycare_ratio,dentist_ratio,mentalhealth_ratio,otherproviders_ratio,disconnected_youth,unemployment,income_inequality,children_freelunches,single_parent_households,social_associations,water_violations,high_housing_costs,housing_overcrowding,segregation_black_white,segregation_nonwhite_white,homeownership,severe_ownership_cost,smoke_perc,obesity_perc,inactive_perc,drinking_perc,food_insecure_perc,preventable_hospitalization,mammogram_perc,flu_vaccine_perc,violent_crime,air_pollution,drive_alone_perc,long_commute_perc,traffic_volume,party,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_household_income,median_age,median_household_income,median_individual_income,median_individual_income_age_25plus,native,other_single_race,pac_isl,per_capita_income,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
01003,9559,0.0834500318268619,8,0.737135489534469,0.0278806922102894,0.054244265969879,0.00324980717497225,1371.7935484,2018.7222222,1038.2,1787.0655738,0.0847679452330615,0.036153821564428,4.41776667855869,0.484865647221698,0.241396014532643,0.00102056173222718,0,0.1227738802,0.0127079175,41.271762768,31.825343231,0.736193431863855,0.117258079538046,0.17,0.31,0.27,0.18,0.12,4041,0.43,0.44,204,10.3,0.84,0.42,87,republican,78.3,20,1.9,5.5,0.9,3.24,31.9,9.3,4.6,81.8,76.3,81.7,0.6,1.2,0,1.8,4.6,24.8,11.5,75.2,90.8,80986,43,58320,29802,37897,0.8,1.1,0,32626,2.59,212830,10.4,7.4,13.4,1.7,8.9,0.3,3.8,2.2,11.8,86.2,83.1
01005,11024,0.114745586708204,5.6,0.531667698583239,0.0408708153624974,0.107396665731872,0.00716264345073209,3158.75,2764.5555556,12440.5,1913.9230769,0.133393017009848,0.051713842111549,5.68141001855288,0.632923020393166,0.566034260453122,7.5187969924812e-4,0,0.1344594595,0.0168859649,25.039132349,23.449712509,0.613977792292619,0.140595463137996,0.22,0.42,0.24,0.13,0.22,6209,0.45,0.37,414,11.5,0.83,0.32,102,republican,79.1,18.6,1.6,5.3,0.5,3.01,11.6,47.6,4.4,60.5,51.9,64.2,0.6,1.6,0,1.1,5.2,39.1,26.1,60.9,73.2,47068,40.4,32525,17963,27434,0.3,3.6,0,18473,2.41,25361,30.7,16.8,50.1,1.2,11.3,0.3,3.3,3.4,6.6,46.8,45.8
01009,10587,0.0760456273764259,8.4,0.156344858867451,0.0335345953002611,0.0288014982327902,0.0023443021391757,4462.5384615,5258.1818182,6426.6666667,4449.2307692,0.189415940626008,0.0351115732224266,4.4302623315136,0.529062870699881,0.285618279569893,8.4463827073242e-4,0,0.0785144566,0.018913676,48.214822884,17.694494741,0.78626213592233,0.0846225729415429,0.19,0.34,0.3,0.14,0.11,4060,0.34,0.39,483,11.7,0.86,0.59,33,republican,76.8,17.9,1.8,5.9,0.4,3.33,13.1,1.6,9.3,73,63.5,70.1,0.1,1.8,0.2,0.9,6.6,21.2,24,78.8,80.5,65639,40.7,49358,26976,39004,0.1,0.9,0,24747,2.74,57681,13.6,10.9,18.4,1.6,10.8,0.2,5.9,6.1,7.7,95.5,86.9
01015,10569,0.0916137366777909,6.9,0.477212158013696,0.033534616991379,0.0917856658317309,0.00654591730004881,1571.6164384,1705.6268657,865.73484848,1785.578125,0.0669115298626637,0.046528321587053,5.0238964487222,0.5883759321455,0.40191944745613,0.00144690049508402,0,0.1182493249,0.0154204571,44.542304124,40.68118287,0.694734972131548,0.117224322180223,0.21,0.39,0.32,0.14,0.16,6581,0.32,0.38,756,11.8,0.85,0.31,110,republican,78.2,17.2,1.8,5.8,0.9,3.03,18.5,20.8,3.8,75.1,67.8,74.9,0.8,0.9,0.1,0.8,3.1,29.9,13.8,70.1,84.4,63417,39.6,47255,24069,32473,0.3,1.9,0,25345,2.5,114618,17.9,9.7,25.6,2.4,9.5,0.2,2.4,1,10.8,73.7,72.1
01017,9504,0.122137404580153,6.4,0.61864679234254,0.0454410011918951,0.103285582811632,0.00611040251535016,2408.0714286,5602.5,16807.5,6723,0.115507338864071,0.0390809112333072,4.74493213467301,0.711213517665131,0.465554436933698,0.00177972888796607,0,0.1237707948,0.0403610108,26.747861297,25.672844447,0.677641313998224,0.123810279187817,0.19,0.4,0.3,0.13,0.18,5622,0.38,0.42,529,11.4,0.85,0.32,20,republican,79,19.2,1.9,6.1,1.1,3.1,13.3,39.6,2.4,69.4,58.6,68.7,1,0.9,0,0.5,1.4,32.5,13.4,67.5,81.6,53505,42,42289,22754,31860,0.3,0.3,0,22729,2.46,33660,17.3,11.4,25.5,1,10.3,0.4,5.4,8.1,7.9,57.7,55.5
01031,9676,0.083085374227512,7.5,0.537238728277409,0.0260462652304432,0.0598120313946504,0.00584107645448587,1852.6428571,2883.8333333,1526.7352941,1441.9166667,0.0689243027888446,0.0394869577748955,4.65877263402016,0.483766562152321,0.358318854968148,0.00146508848363342,0,0.1050299713,0.0139354839,37.921112635,29.59042195,0.647935721865683,0.0945766845146583,0.17,0.34,0.31,0.15,0.14,4863,0.42,0.37,276,10.9,0.87,0.27,58,republican,76.3,16.5,1.7,6.2,1.4,3.12,22.8,16.9,7.3,80,69.7,76.4,1.5,1.2,0.2,1.4,5.2,34.3,12.6,65.7,85.9,70079,39.3,55637,28172,36221,1.2,1.3,0,27806,2.56,51662,15.1,8.3,24.3,3.3,9.8,0.1,3.7,5.4,16.4,75.7,70.1
01033,10255,0.102267468764461,7.4,0.557323436466525,0.0329817661780479,0.0655170453516572,0.00526605504587156,1557.1428571,2190.48,2882.2105263,693.18987342,0.0764053840063341,0.0461776593000258,4.75820091570159,0.519216555801922,0.360547755243543,0.00168807339449541,0,0.1275395551,0.0067857951,28.034038885,24.168040449,0.727051699619249,0.117630057803468,0.19,0.31,0.37,0.15,0.15,6414,0.4,0.45,400,10.7,0.9,0.28,81,republican,78.9,19.4,2.2,5.7,0.5,3.06,18.1,16.2,2.8,70.1,62.9,71.7,0.5,0.6,0.1,0.8,2.1,27.8,8.3,72.2,85.2,60904,42.4,48065,25308,35095,0.6,1.6,0.1,25536,2.48,54771,15.5,10.4,21.1,2,7.2,0.1,2.3,0.9,8.9,79,78.2
01039,11328,0.103459424506951,7.6,0.502343439692837,0.0468665586169638,0.0437032675122468,0.00512239836083253,1952.2105263,2641.8571429,1541.0833333,1275.3793103,0.0852904820766378,0.0457834411218544,4.91633070406077,0.567079127320091,0.36344301263605694,0.00126711959452173,0,0.1036687984,0.0158102767,41.682563872,39.087432192,0.740271855010661,0.100121402556595,0.19,0.32,0.36,0.14,0.15,9181,0.42,0.39,331,10.5,0.88,0.29,42,republican,78.1,20.8,2.2,5.8,0.5,3,15.3,13.5,1.7,70.7,57.2,67.6,0.6,0.1,0.1,0.1,1.3,25.5,20.4,74.5,83.4,57075,43.3,42189,24623,32676,0.1,0.2,0.1,23687,2.46,37200,18.6,12.2,28.7,1.1,11.1,0.1,6,5.9,10,84.6,83.3
01043,10523,0.0832852193995381,8.2,0.41653607939706,0.0417282345292275,0.0310960624978235,0.00233218536644312,1799.0217391,2035.1707317,738.42477876,1158.9166667,0.101646937725167,0.0328046523922813,4.435584708414471,0.507733375206093,0.254175308372448,0.00117213461422271,0,0.1014420686,0.0175353925,83.563356972,24.178496341,0.745818418483567,0.0994137847306532,0.18,0.37,0.37,0.15,0.12,6442,0.44,0.41,129,11.6,0.88,0.33,51,republican,77.4,18.2,1.5,6.2,0.4,3.18,13.9,1.3,4.4,74.1,62.3,71.5,0.4,0.6,0.1,0.5,3,25.2,19.8,74.8,81.6,59909,40.8,44918,24163,33157,0.3,0.9,0,23468,2.63,82853,14.9,9.7,19.5,2,11.1,0.4,2.5,1.4,8,95.1,91.9
01045,9953,0.0847679232948355,6.7,0.463871365743965,0.0329265930660469,0.105593803329287,0.00747572421078292,5469.5555556,2879.7647059,1064.2608696,1483.5151515,0.0967051775780916,0.0420477137176938,5.063099358792489,0.625930721916478,0.327750352609309,0.00105635233413237,0,0.1223274696,0.0146315509,32.996286562,29.982801304,0.601981788966256,0.12905588102749,0.2,0.37,0.32,0.15,0.16,5120,0.42,0.41,437,11,0.86,0.25,41,republican,76.9,16.4,1.6,6.6,1.4,3.14,18.1,20.3,6.5,77,67.6,76.1,1.4,1.5,0.1,1.6,4.8,39.9,16.4,60.1,86.1,61001,37.3,47214,24767,32488,0.8,1.9,0,24645,2.55,49277,17.6,8.5,27.7,3.3,11.6,0.1,3.8,4.5,16.4,72.4,68.6
