fips,per_capita_health_cost,low_birthweight_percentage,food_environment,physical_exercise_opportunities,teen_births,limited_healthy_access,stis,primarycare_ratio,dentist_ratio,mentalhealth_ratio,otherproviders_ratio,disconnected_youth,unemployment,income_inequality,children_freelunches,single_parent_households,social_associations,water_violations,high_housing_costs,housing_overcrowding,segregation_black_white,segregation_nonwhite_white,homeownership,severe_ownership_cost,smoke_perc,obesity_perc,inactive_perc,drinking_perc,food_insecure_perc,preventable_hospitalization,mammogram_perc,flu_vaccine_perc,violent_crime,air_pollution,drive_alone_perc,long_commute_perc,traffic_volume,party,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_household_income,median_age,median_household_income,median_individual_income,median_individual_income_age_25plus,native,other_single_race,pac_isl,per_capita_income,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
42049,9973,0.0820829243210396,7.3,0.883578195504801,0.0229943941101565,0.0866799214266875,0.00355502456827942,1265.1658986,1478.5923913,507.57649254,619.72892938,0.0467473237473871,0.0470911341482284,4.6337955346651,0.622915907753524,0.40554066433685104,0.00131856444028396,1,0.1240808824,0.0144031987,67.314910061,57.462714387,0.658000908677874,0.131836769068094,0.2,0.34,0.24,0.22,0.14,5097,0.48,0.51,225,10.9,0.79,0.2,191,democrat,78.5,17.4,2.5,5.6,1.7,2.96,27.9,7.2,4.2,81.2,74.2,74.2,0.9,1.6,1,2.9,2.8,33.9,5.2,66.1,91.3,68976,39.7,51529,26585,35867,0.3,1.2,0,28306,2.36,273835,16,8.5,23.1,3.2,4.6,0.1,2.3,2.2,9.1,86.5,84.2
13285,11206,0.109068438127607,6.8,0.730371099576398,0.0430708235718147,0.0725722177226896,0.00805319118447826,1886.1081081,1708.1463415,795.84090909,1094.28125,0.160344363734194,0.0369976262584923,5.52717324480512,0.680955097384076,0.444742677091843,0.00126099790788983,0,0.1655913978,0.0194963444,34.07908523,33.836254073,0.572877671778771,0.178939773354272,0.18,0.4,0.35,0.15,0.17,5454,0.33,0.4,332,11.2,0.85,0.26,90,republican,75.3,14.5,1.6,6.5,2.3,3.39,19,36.2,3.7,73.1,65.3,73,1.4,1.9,0.1,1.5,3.1,42.6,6.5,57.4,83.4,60945,36.4,45649,24771,32080,0.3,1.2,0,23124,2.74,69919,21.3,12.1,28.1,1.7,11.8,0.3,6.1,2.9,7.4,58.3,56.3
42107,11233,0.0788542001931123,8.3,0.751822454801098,0.0232957800267329,0.0259779250079237,0.0020691735229958802,1804.6708861,2219.796875,1353.0190476,1578.5222222,0.0612107999329197,0.0517476168860645,4.36875175841696,0.544160623444096,0.343305402032448,0.00132567388422448,0,0.1032269257,0.0096846075,57.064536377,35.933516971,0.753835152299389,0.116498840851576,0.19,0.32,0.23,0.19,0.12,5181,0.37,0.5,319,11.5,0.84,0.34,94,republican,80.2,20,2.9,4.9,0.5,2.82,16.6,3.2,4.4,76.6,71.7,68.3,0.5,0.5,0.2,2.4,2.9,24.3,3.6,75.7,89.3,65564,44.4,52280,28165,38382,0.2,1,0,27431,2.3,142674,12.4,8.6,16.6,1.4,5.2,0.2,4.6,4.7,9.4,93.7,91
54011,10671,0.105599398722285,7.3,0.88854743093263,0.0307355046528275,0.0437123408206065,0.00471787527117252,628.86092715,1726.3703704,369.93650794,329.41342756,0.0546935608999224,0.047351466563325,5.96471085440586,0.560987037326253,0.386607433091343,0.00141115019271678,1,0.143568147,0.0105118258,60.055911632,46.324827571,0.621984455435551,0.14464799720227,0.24,0.33,0.28,0.12,0.16,4904,0.37,0.45,461,10.4,0.83,0.24,140,republican,80.2,18.2,2.2,5.6,1.4,3.08,26,4.9,1.4,71.4,66.9,74.4,1,0.4,0.2,0.8,1,38.2,8.3,61.8,88,58832,38.8,40028,22326,33189,0.2,0.6,0,25271,2.31,94339,22.3,8.6,26,2.3,7.7,0,2.6,2.2,8,90.6,89.8
45003,9531,0.093207432226622,7.7,0.682889961836114,0.0304314219461224,0.0727793981536424,0.00542279357113552,3003.1964286,2455.0869565,685.8340081,1783.1684211,0.0685756421285486,0.0334577518121822,4.65072197921076,0.660186977472098,0.39768817944131,9.9893565784075e-4,0,0.1122976068,0.0156698472,27.054040027,25.139667041,0.716564233248389,0.119804707060591,0.15,0.36,0.27,0.17,0.13,4932,0.48,0.51,453,11.3,0.84,0.36,33,republican,78.2,18.7,2.3,5.8,0.9,3,26.4,25,5.7,78.8,71.9,78.1,0.7,1.4,0.1,1.2,4.4,27.4,18.1,72.6,88,68799,41,51399,27373,36130,0.3,0.6,0,28396,2.45,168301,14.9,7.8,22.1,2.4,10.2,0.2,4.3,6,10.1,70.7,66.2
16001,8380,0.0657571779211142,8.1,0.894687344691805,0.0130835473636501,0.0431335999057,0.00448725946647579,1067.4042056,1249.9095745,345.30933137,643.7890411,0.0496350364963504,0.0245987117881607,4.47803189888655,0.3125888,0.237532143153393,7.9238435456792e-4,1,0.1219597718,0.0145573566,49.253771912,20.789165451,0.683704612394143,0.122615602487532,0.12,0.26,0.15,0.18,0.12,2677,0.46,0.48,231,10.6,0.81,0.2,277,republican,76,14,1.4,5.8,2.5,3.22,38.5,1.4,8.2,84.4,86.8,82,1.7,1.6,0.9,2.5,5,30.7,3.7,69.3,95.2,88757,37,66293,32937,41097,0.5,1.5,0.2,34919,2.58,456849,10.8,9.2,11.7,3.4,8.3,0.5,4.3,2.8,8.6,90.5,84.7
06029,12582,0.0725069897483691,7.7,0.759382395361772,0.0391040850239485,0.0537565348623383,0.00768766536150278,2020.6312217,2080.6589327,529.37662338,1714.6539197,0.0991492209157824,0.0797551402207252,4.90792979876872,0.736815577249576,0.359373960937103,4.7026208153672e-4,1,0.1729017064,0.0909714678,48.367834503,26.611577351,0.580020379750143,0.17648581506852,0.15,0.32,0.22,0.18,0.13,4914,0.34,0.38,545,19.7,0.8,0.24,303,republican,70.9,10.7,1.2,7.9,4.7,3.69,16.4,5.5,53.3,79.7,70,79.3,3.1,9.5,0.8,1.9,37.8,41.7,6.6,58.3,74.1,73478,31.6,53350,25013,32876,1,10.7,0.2,23326,3.17,887641,21,12.3,29.1,3.5,7.9,1,3.2,2.3,5.7,74.4,34.2
34007,13061,0.0910403299725023,8.1,0.898985120420826,0.0217119150530462,0.0462539993750694,0.0062480542137653,970.9486692,1248.9605911,335.14738929,1008.1073559,0.0647531387509588,0.0463621996839305,5.4106334841629,0.441402792801652,0.40926804766523506,8.2041200738566e-4,0,0.1856955739,0.0198686194,56.431166599,47.640781228,0.667029996046122,0.183085776925185,0.16,0.31,0.29,0.18,0.12,6062,0.38,0.52,465,11.6,0.77,0.4,623,democrat,77.1,15.4,2,6.1,5.7,3.3,32.5,19.3,16.8,83.9,77.9,79.5,3.5,4.8,0.9,4.4,13,33.2,0.7,66.8,88.7,94016,38.8,70451,33626,45876,0.2,8,0,35958,2.67,506738,12.2,9,17.4,3.2,6.5,0.7,3,2.7,5.9,63.6,56.7
29097,10146,0.0697794624396968,7.3,0.745460120609179,0.0422393563526651,0.106058662209124,0.00583112205428517,1652.8425926,1699.0985915,424.77464789,697.31791908,0.0574079899339415,0.0274618536309692,4.16717325227964,0.555010478186321,0.326152186372678,0.00132260828335427,0,0.1135987648,0.0206647715,42.142938241,20.673813053,0.64808554826451,0.106968577552789,0.19,0.39,0.27,0.19,0.13,4211,0.46,0.49,416,10,0.83,0.15,110,republican,74.9,15.2,1.7,6.8,1.1,3.12,23.6,1.9,8,77.7,69.1,79,0.9,1.4,0.4,0.8,5,36.4,6.4,63.6,86.7,62468,36.2,48357,25861,33095,1.5,1.5,0.1,24484,2.57,119920,17.1,9.1,25.1,3.5,13.1,0.9,6.5,6.8,7.8,90.4,84.2
27141,10837,0.0579519655872864,8.9,0.885286839399315,0.0108676046176046,0.0561877037684042,0.00270698953156392,2488.6842105,2286.5714286,589.17791411,2233.3953488,0.0590419606386929,0.0315473887814313,3.36387530116084,0.226366760387379,0.226772665221232,8.5650840647139e-4,0,0.0777832271,0.0193307342,72.553805096,34.629160884,0.826480133598009,0.0843430970327259,0.15,0.3,0.2,0.25,0.07,7006,0.44,0.48,104,7.3,0.84,0.52,53,republican,73.4,10.9,1.2,6.6,1.3,3.22,26.6,2.5,2.6,89.2,85.1,84.9,1.3,0.6,1.3,1.8,2.5,16.4,1.5,83.6,94.6,101255,36,89250,39364,47868,0.6,1.3,0,35439,2.87,94463,6.4,5.8,8.4,2,2.7,0.1,1.3,0.8,7.5,92.4,91.2
